brand,type,miles,years,location,nowprice,preprice
奔驰C级,2021款,2.21万公里,2021-07,合肥,28.50,37.64万
天际ME5,2021款,1万公里,2022-06,常州,14.58,18.44万
宝马i3(进口),2018款,4万公里,2019-01,常州,14.78,36.88万
保时捷718,2018款,7万公里,2017-12,常州,43.78,61.33万
奔驰G级,2020款,1.95万公里,2021-10,合肥,172.80,155.20万
奔驰E级,2014款,10万公里,2014-06,常州,15.78,54.06万
丰田C-HR,2018款,2万公里,2019-02,常州,9.78,16.04万
Model,3,1.17万公里,2022-03,北京,30.62,37.98万
Model,3,3.42万公里,2020-10,北京,18.45,31.67万
揽胜星脉,2021款,2.48万公里,2021-10,合肥,45.20,66.00万
海豚,2021款,1.7万公里,2022-01,常州,10.78,12.24万
Panamera,2010款,14万公里,2011-11,常州,26.78,125.15万
红旗HS5,2022款,1.9万公里,2021-08,常州,15.28,21.69万
哈弗大狗,2021款,3万公里,2021-01,常州,10.78,14.10万
长安CS75,PLUS,1.3万公里,2020-11,常州,9.98,13.56万
瑞虎8,PLUS,4万公里,2021-05,常州,9.98,14.32万
宝马4系,2017款,6.3万公里,2018-07,常州,31.78,56.10万
奥迪A6L,2019款,4.1万公里,2019-12,宁波,30.88,44.48万
奔驰C级,2017款,7万公里,2017-04,泉州,21.80,38.40万
英菲尼迪Q50L,2016款,10万公里,2017-09,常州,12.78,34.71万
奥迪A3,2018款,5万公里,2018-09,常州,11.78,21.33万
揽胜运动版,2022款,1.68万公里,2021-10,合肥,86.60,109.42万
宋,2016款,10万公里,2015-12,常州,3.58,12.69万
捷豹F-PACE,2020款,1.07万公里,2020-12,合肥,27.80,51.65万
宝骏560,2015款,8万公里,2015-11,常州,2.98,9.75万
卡罗拉,2021款,1.9万公里,2021-06,常州,9.78,14.74万
宝马X3(进口),2014款,9万公里,2014-09,常州,16.78,54.49万
欧陆,2014款,4万公里,2014-04,武汉,,已降17.9万
奔驰S级,2017款,5万公里,2017-08,武汉,,已降5.9万
MINI,JCW,3.8万公里,2020-04,佛山,28.88,39.27万
奔驰E级(进口),2021款,1.28万公里,2021-11,重庆,38.90,47.63万
宝马4系,2017款,3.53万公里,2018-02,武汉,,已降1.2万
Cayenne,2014款,9万公里,2013-02,武汉,,已降1.9万
添越,2021款,1.7万公里,2021-02,重庆,308.10,271.26万
宝马X3,2022款,0.7万公里,2022-02,合肥,40.80,47.41万
奥迪Q5L,2021款,2.4万公里,2021-07,合肥,34.80,48.87万
奔驰E级新能源,2022款,0.01万公里,2022-10,合肥,45.80,56.65万
雷克萨斯RX,2020款,3.1万公里,2020-05,南宁,55.60,72.94万
宝马X3,2021款,2.1万公里,2021-07,重庆,,已降1000元
Ghibli,2017款,8.2万公里,2017-04,重庆,,已降1000元
宝马X3,2020款,2.5万公里,2020-06,重庆,31.80,42.31万
奔驰E级,2019款,4.7万公里,2020-01,重庆,39.68,53.49万
本田UR-V,2017款,11.4万公里,2019-01,常州,,已降1.3万
揽胜运动版,2021款,0.6万公里,2021-03,北京,89.80,120.27万
奔驰G级AMG,2020款,2.4万公里,2020-09,北京,259.80,241.93万
宝马X3,2018款,3.4万公里,2019-02,重庆,,已降1000元
Cayenne,2018款,7.9万公里,2018-08,重庆,,已降1000元
Macan,2021款,2.2万公里,2021-02,重庆,,已降1000元
奔驰G级AMG,2020款,3.1万公里,2020-11,北京,263.80,241.93万
宝马4系,2016款,7.9万公里,2016-07,上海,31.89,73.38万
奔驰GLE,2021款,3万公里,2021-01,合肥,66.60,80.19万
奔驰GLE,2022款,1万公里,2021-11,东莞,79.98,87.36万
奔驰C级,2020款,3.4万公里,2020-03,沈阳,25.90,37.64万
途锐,2011款,9.5万公里,2014-06,沈阳,16.50,85.75万
奔驰C级,2022款,0.43万公里,2022-01,合肥,33.58,38.12万
奔驰A级,2020款,0.5万公里,2021-03,泉州,17.50,24.94万
奥德赛,2019款,2万公里,2020-06,西安,24.58,32.00万
雷克萨斯LX,2017款,6.3万公里,2018-04,西安,148.80,159.46万
保时捷718,2019款,2.8万公里,2020-07,北京,65.50,71.75万
奔驰C级(进口),2020款,5.5万公里,2020-03,宁波,29.90,39.16万
捷豹XJ,2015款,8.7万公里,2014-09,上海,23.89,97.48万
宝马4系,2014款,9.9万公里,2014-06,上海,23.89,76.85万
奥迪A6L,2019款,5.9万公里,2020-03,成都,37.80,55.01万
Cayman,2013款,11万公里,2014-11,宁波,28.98,78.91万
凌渡,2019款,3.5万公里,2020-04,宁波,10.00,16.92万
宝马X4,2021款,1.2万公里,2021-09,合肥,37.80,49.49万
天逸,C5,3.5万公里,2020-01,海口,10.58,18.85万
途乐,2018款,2.59万公里,2019-06,西安,38.58,60.57万
逍客,2019款,3万公里,2019-09,南宁,10.20,16.81万
奔驰CLA,2022款,0.38万公里,2022-09,广州,30.80,36.02万
发现,2017款,5.2万公里,2018-03,西安,44.98,86.62万
发现,2019款,2.4万公里,2019-04,西安,51.98,80.63万
奥迪A7,2019款,5.8万公里,2020-04,沈阳,60.80,85.84万
AMG,GT,2.9万公里,2020-08,沈阳,80.80,105.70万
Panamera,2019款,2万公里,2019-10,沈阳,99.80,105.62万
奔驰C级,2017款,8.4万公里,2017-09,泉州,,已降5000元
凯迪拉克ATS-L,2017款,7.7万公里,2019-06,泉州,,已降1000元
奔驰GLC,AMG,4万公里,2019-10,上海,57.80,104.83万
途乐,2018款,8万公里,2018-01,佛山,34.50,60.57万
奔驰C级,2020款,4.84万公里,2020-01,西安,23.98,34.28万
宝马M2,2018款,2.1万公里,2020-08,上海,52.80,68.80万
宝马1系(进口),2012款,13.3万公里,2012-06,泉州,6.58,28.11万
一汽-大众CC,2020款,3.57万公里,2020-09,郑州,18.60,28.53万
奔驰GLC,2019款,6万公里,2019-03,泉州,,已降5000元
奔驰GLC,2017款,6.1万公里,2017-01,成都,24.98,46.57万
捷豹E-PACE,2018款,5.1万公里,2019-04,西安,16.98,34.28万
奔驰E级,2020款,7万公里,2020-01,长沙,37.80,50.56万
奔驰GLC,2019款,4万公里,2019-02,长沙,32.80,47.20万
奔驰CLA,AMG,9万公里,2017-11,佛山,28.38,59.25万
英朗,2017款,7.1万公里,2017-07,佛山,,已降8000元
福睿斯,2017款,5.7万公里,2017-06,佛山,,已降7000元
奥迪A6L,2021款,4.8万公里,2021-08,上饶,,已降1万
途观L,2021款,2万公里,2020-12,上饶,,已降3000元
凯迪拉克CT6,2019款,8万公里,2020-01,佛山,,已降3000元
Macan,2017款,7万公里,2017-01,东莞,,已降2000元
宝马4系,2017款,5.6万公里,2018-03,佛山,,已降3000元
宝马3系,2021款,1.9万公里,2021-06,重庆,26.98,34.62万
发现运动版,2021款,3.5万公里,2021-10,成都,26.38,44.70万
奔驰G级,2022款,0.56万公里,2022-04,上海,173.80,159.35万
逸动,2020款,2万公里,2021-02,重庆,7.98,11.28万
领克01,2019款,4万公里,2018-11,武汉,10.58,19.52万
牧马人,2017款,1.9万公里,2019-09,武汉,35.80,58.60万
揽胜星脉,2020款,1.5万公里,2021-04,武汉,40.80,62.18万
宝马5系,2019款,5万公里,2019-10,武汉,35.80,55.02万
宝马5系,2019款,5.4万公里,2019-10,武汉,31.80,46.34万
广汽ix4,2018款,2万公里,2019-03,佛山,7.88,23.32万
飞凡ER6,2020款,3万公里,2021-01,佛山,11.98,19.08万
林肯大陆,2018款,5万公里,2018-01,武汉,17.58,42.31万
帕杰罗(进口),2019款,9.4万公里,2019-01,大连,,已降2000元
奔驰GLC,AMG,3万公里,2018-07,成都,,已降7000元
宝马X5(进口),2019款,7.9万公里,2019-05,成都,,已降5000元
Cayenne新能源,2019款,7万公里,2019-06,成都,,已降3000元
红旗H5经典,2020款,2.2万公里,2021-01,郑州,,已降3000元
宝马X6,2019款,2.2万公里,2019-10,北京,47.50,81.83万
保时捷718,2016款,7万公里,2018-01,佛山,,已降3000元
沃尔沃XC40,2021款,1.5万公里,2020-08,佛山,,已降4000元
雷克萨斯RC,2018款,6万公里,2018-09,佛山,,已降1万
奔驰E级(进口),2017款,7.4万公里,2017-09,佛山,,已降8000元
小鹏G3,2021款,1.1万公里,2021-11,佛山,,已降6000元
Cayenne,2019款,5.3万公里,2019-03,三明,,已降1000元
发现神行,2017款,6.7万公里,2017-08,成都,18.68,50.80万
奔驰C级,2016款,7.1万公里,2016-05,成都,17.98,38.40万
Macan,2023款,0.45万公里,2022-07,中山,70.80,75.22万
宝马X6,2020款,6.2万公里,2020-01,合肥,61.90,90.84万
古思特,2010款,8.81万公里,2013-09,三明,229.00,454.81万
揽胜运动版,2016款,8万公里,2016-02,温州,51.80,127.87万
Cayenne,2019款,1.2万公里,2020-11,三明,95.50,99.10万
Macan,2016款,7万公里,2016-01,无锡,31.50,74.68万
奥迪A4L,2019款,4万公里,2020-04,无锡,20.80,32.65万
英菲尼迪Q60,2019款,2万公里,2020-04,无锡,25.50,38.95万
沃尔沃S90,2018款,6万公里,2018-02,无锡,20.98,44.16万
帕萨特,2020款,5.6万公里,2020-05,泉州,17.30,25.82万
保时捷718,2022款,0.21万公里,2021-11,中山,66.80,63.50万
Cayenne,2022款,1.4万公里,2022-01,中山,108.80,110.50万
沃尔沃XC60,2021款,0.9万公里,2021-01,合肥,26.68,42.43万
宝马3系,2022款,0.88万公里,2022-05,西安,28.58,34.62万
Macan,2022款,0.01万公里,2022-11,杭州,61.99,60.14万
奔驰GLE,2021款,5.3万公里,2021-01,西安,63.98,80.19万
Macan,2017款,3万公里,2017-12,杭州,32.80,59.70万
Macan,2020款,1.8万公里,2020-12,合肥,46.50,59.16万
宝马X1,2018款,7万公里,2018-07,苏州,13.68,30.81万
宝马3系,2019款,7.5万公里,2018-11,重庆,19.28,34.39万
发现神行,2018款,5.7万公里,2018-10,重庆,17.88,43.94万
宝马7系,2014款,14万公里,2015-05,重庆,27.88,103.77万
一汽-大众CC,2020款,7万公里,2020-03,重庆,17.68,28.53万
宝马X2(进口),2018款,2万公里,2018-11,重庆,16.88,34.93万
马自达CX-5,2020款,4.9万公里,2020-01,重庆,12.88,21.69万
宝马2系,2021款,1.6万公里,2021-03,重庆,21.28,29.29万
宝马5系新能源,2019款,3.7万公里,2019-10,重庆,30.68,53.94万
雷克萨斯RX,2020款,6.7万公里,2020-09,长沙,47.80,
Cayenne,2020款,4万公里,2019-11,长沙,91.80,125.70万
汉兰达,2022款,2万公里,2021-11,重庆,33.00,37.86万
广汽ix4,2018款,1.6万公里,2019-01,佛山,7.88,24.40万
亚洲龙,2019款,2万公里,2020-02,东莞,19.38,26.57万
奥迪A7,2021款,2.4万公里,2021-03,西安,52.98,66.52万
途锐,2019款,13万公里,2019-05,南宁,34.50,67.28万
传祺M8,2021款,4.8万公里,2021-01,西安,17.50,20.93万
宝马5系GT,2013款,10.5万公里,2013-07,西安,19.80,90.20万
零跑C11,2021款,0.3万公里,2022-07,佛山,15.98,19.52万
宝骏KiWi,EV,0.3万公里,2022-04,佛山,7.68,9.31万
思域,2021款,2.4万公里,2021-02,海口,11.98,16.60万
奔驰E级,2016款,9.8万公里,2017-04,合肥,31.98,54.25万
沃尔沃XC60,2017款,5.2万公里,2017-09,海口,14.98,43.30万
奥迪TT,2017款,3.45万公里,2018-12,合肥,27.50,49.26万
沃尔沃XC60,2018款,4万公里,2018-05,佛山,21.98,46.66万
雅阁,2022款,0.8万公里,2022-02,沈阳,20.60,25.70万
奔驰C级,2020款,5万公里,2020-01,合肥,25.80,37.64万
MINI,2014款,4.57万公里,2016-01,合肥,10.98,24.42万
奔驰E级(进口),2020款,1万公里,2020-08,合肥,42.88,56.64万
汉兰达,2018款,3.6万公里,2020-08,海口,20.98,27.01万
宝马X3,2021款,2.41万公里,2021-04,合肥,32.98,46.22万
雷克萨斯RX,2016款,6.1万公里,2019-01,佛山,35.98,50.37万
坦克300,2021款,1.4万公里,2022-01,沈阳,21.50,23.21万
雷克萨斯GS,2016款,5万公里,2017-02,合肥,28.80,49.82万
别克GL8,2021款,3.7万公里,2021-08,合肥,31.68,34.07万
Ghibli,2014款,5.6万公里,2016-04,合肥,43.60,97.48万
宝马3系,2021款,3.68万公里,2021-01,南昌,26.35,34.62万
Cayenne,2019款,0.4万公里,2021-08,杭州,107.50,108.33万
宝马X1,2021款,0.29万公里,2021-10,西安,24.58,36.88万
宝马5系,2017款,8.3万公里,2017-03,沈阳,22.60,59.77万
凯美瑞,2019款,4.5万公里,2020-05,重庆,18.00,26.03万
奇骏,2020款,4.3万公里,2020-09,石家庄,12.68,21.63万
汉兰达,2018款,7万公里,2020-08,重庆,24.00,32.54万
SIENNA,2015款,0.8万公里,2022-03,重庆,40.00,52.10万
宝马3系,2022款,0.31万公里,2022-01,西安,29.98,34.07万
奔驰C级,2017款,3万公里,2017-03,无锡,17.98,34.17万
发现,2016款,9.6万公里,2015-09,南京,45.80,100.73万
宝马3系GT,2020款,1万公里,2021-06,北京,29.80,42.31万
Macan,2021款,1.9万公里,2021-01,北京,66.00,67.19万
揽胜,2020款,3万公里,2020-11,北京,135.80,170.74万
揽胜运动版,2016款,6.7万公里,2016-01,郑州,44.90,113.76万
沃尔沃S90新能源,2022款,0.59万公里,2022-03,合肥,33.70,54.26万
捷豹E-PACE,2018款,2.67万公里,2021-06,合肥,19.80,36.56万
宝马4系,2016款,3.38万公里,2017-02,合肥,21.50,52.97万
奥德赛,2022款,2万公里,2022-02,合肥,28.30,32.54万
宝马1系,2021款,2万公里,2021-10,合肥,16.80,26.79万
奥迪A5,2013款,9.59万公里,2013-11,合肥,12.98,54.25万
发现,2020款,2.8万公里,2020-09,西安,53.98,80.63万
奔驰E级(进口),2020款,3万公里,2020-09,合肥,32.90,46.22万
奔驰GLA,2016款,9.31万公里,2016-03,南京,13.30,31.46万
别克GL8,2022款,0.7万公里,2021-09,合肥,41.98,51.01万
宝马5系新能源,2022款,0.59万公里,2022-03,西安,40.98,54.26万
天籁,2019款,4.5万公里,2019-09,石家庄,13.98,28.85万
Panamera,2019款,3.5万公里,2020-01,三明,114.80,123.53万
发现,2017款,4.7万公里,2018-01,武汉,40.80,86.62万
探界者,2019款,4.5万公里,2020-01,海口,9.98,20.61万
林肯大陆,2019款,4.13万公里,2019-08,南昌,22.98,47.30万
宝马4系,2014款,6.8万公里,2015-02,佛山,26.68,75.98万
奥迪Q3,2020款,2.1万公里,2021-07,佛山,19.00,31.13万
凯迪拉克XT6,2020款,2.5万公里,2021-03,西安,30.98,45.56万
宝马5系,2022款,0.88万公里,2022-03,西安,38.98,47.10万
宝马M3,2021款,1万公里,2021-10,金华,85.80,92.25万
宝马3系,2020款,4万公里,2020-05,无锡,23.90,34.07万
宝马7系,2021款,1.85万公里,2021-09,西安,74.58,101.82万
宝马X2,2021款,1.3万公里,2021-11,西安,19.58,31.46万
奔驰GLC,2022款,0.1万公里,2022-05,西安,36.58,43.69万
奥迪A7,2021款,2万公里,2021-03,西安,52.98,66.52万
宝马5系新能源,2021款,0.57万公里,2021-11,西安,38.98,54.26万
奔驰E级AMG,2021款,1万公里,2021-05,金华,83.80,102.99万
辉昂,2019款,5.26万公里,2020-12,南昌,20.48,36.91万
奥迪A5,2021款,1.68万公里,2021-11,南昌,33.98,43.94万
艾力绅,2016款,5.9万公里,2019-06,合肥,21.28,28.63万
奔驰E级,2018款,4.35万公里,2018-07,西安,29.80,49.91万
凯迪拉克XT5,2021款,3.49万公里,2020-08,南昌,22.98,37.96万
奥迪A7,2020款,4.7万公里,2020-07,南宁,47.38,66.52万
揽胜运动版,2020款,4万公里,2020-06,东莞,77.98,109.20万
宝马5系,2018款,6万公里,2017-11,无锡,33.80,56.98万
宝马3系,2022款,0.7万公里,2022-07,西安,29.38,34.07万
宝马X1,2021款,2.5万公里,2021-02,石家庄,19.68,32.43万
宝马5系,2019款,5.4万公里,2019-05,常州,35.68,52.53万
途胜,2013款,9.81万公里,2013-12,泉州,4.38,19.95万
雷克萨斯NX,2016款,8.7万公里,2017-03,南昌,18.88,35.60万
宝马6系GT,2020款,3.12万公里,2020-03,南昌,43.88,63.38万
理想ONE,2021款,0.52万公里,2022-05,西安,27.58,37.97万
汉兰达,2018款,5.8万公里,2018-03,海口,21.98,32.54万
Levante,2018款,3.2万公里,2019-08,上海,62.80,104.40万
奥迪Q2L,e-tron,1.3万公里,2020-07,沈阳,15.58,25.76万
奥迪A6L,2020款,5.88万公里,2021-01,沈阳,35.38,47.74万
埃尔法,2020款,4.4万公里,2021-01,上海,99.80,94.44万
奔驰C级,2021款,2万公里,2021-05,长沙,29.80,34.71万
宝马3系,2022款,0.68万公里,2021-12,长沙,30.80,34.62万
Macan,2020款,2.5万公里,2020-01,上海,52.80,70.66万
保时捷718,2019款,2万公里,2020-08,上海,57.80,69.58万
保时捷911,2020款,2.2万公里,2020-07,上海,,已降8000元
AMG,GT,1.6万公里,2021-07,上海,83.80,106.90万
保时捷718,2020款,2.2万公里,2020-04,上海,61.80,61.33万
奔驰E级,2021款,1.8万公里,2021-03,上海,39.80,46.76万
奔驰E级,2021款,2万公里,2021-02,上海,40.80,46.76万
奔驰CLS,2018款,2.9万公里,2019-09,上海,50.80,75.09万
宝马X3,2019款,2.8万公里,2019-04,南京,,已降1.9万
雷克萨斯ES,2021款,1.2万公里,2022-03,南宁,,已降3000元
发现,2021款,1.8万公里,2021-07,武汉,63.50,85.62万
MINI,2019款,2.8万公里,2020-07,成都,,已降3000元
奔驰E级,2022款,2万公里,2021-11,常州,42.58,52.09万
宝马5系,2022款,1万公里,2022-02,常州,37.98,46.01万
丰田C-HR,2018款,3.07万公里,2019-05,合肥,9.48,16.91万
马自达3,昂克赛拉,8.21万公里,2017-08,合肥,7.36,17.36万
欧拉黑猫,2019款,4.9万公里,2020-02,成都,,已降1000元
奥迪A6L,2021款,5万公里,2021-01,东莞,,已降1000元
奥迪A8,2019款,1.23万公里,2020-06,合肥,,已降2000元
宝马5系,2021款,1.4万公里,2021-11,合肥,,已降3900元
揽胜星脉,2021款,3.9万公里,2021-11,武汉,43.80,66.00万
传祺M8,2018款,5万公里,2018-12,武汉,14.58,23.53万
领克02,2019款,4万公里,2019-04,武汉,10.58,18.32万
捷豹XFL,2017款,5万公里,2018-03,武汉,19.68,52.97万
奔驰GLK级,2013款,6万公里,2014-01,武汉,12.68,47.54万
发现神行,2018款,5万公里,2018-04,武汉,17.58,43.94万
Macan,2021款,1.1万公里,2021-10,武汉,51.80,57.64万
MINI,CLUBMAN,1.4万公里,2020-07,武汉,23.80,31.24万
宝马X3,2022款,0.9万公里,2021-10,武汉,37.80,47.41万
标致5008,2017款,5万公里,2017-10,武汉,13.58,30.36万
标致5008,2017款,4万公里,2018-05,武汉,13.88,30.36万
雷克萨斯ES,2015款,6.7万公里,2016-07,临沂,18.20,30.28万
林肯大陆,2017款,5万公里,2018-02,武汉,19.18,48.17万
奔驰E级(进口),2021款,0.33万公里,2021-05,武汉,,已降1万
奔驰GLE,2017款,7.3万公里,2017-11,成都,,已降4000元
奔驰GLE轿跑,AMG,7万公里,2018-03,成都,,已降5000元
捷豹XJ,2018款,2.7万公里,2019-01,成都,,已降4000元
奔驰E级,2020款,7.5万公里,2020-05,成都,,已降4000元
奥迪A8,2016款,12万公里,2016-11,成都,,已降3000元
宝马6系,2013款,6.8万公里,2016-01,成都,,已降3000元
普拉多,2018款,9万公里,2018-07,成都,,已降5000元
奔驰GLC轿跑,2021款,1.5万公里,2021-06,成都,,已降3000元
奔驰E级,2018款,11万公里,2018-01,成都,,已降4000元
发现运动版,2020款,2.26万公里,2021-03,北京,24.58,41.55万
宝马X6,2018款,5.5万公里,2018-11,北京,39.98,84.00万
奥迪A8,2021款,1.3万公里,2021-07,北京,65.98,91.48万
宝马5系,2021款,3.6万公里,2021-01,北京,42.98,55.02万
探险者,2020款,0.6万公里,2021-11,北京,30.98,39.06万
奔驰CLA,2022款,0.53万公里,2022-06,北京,27.98,32.54万
坦克300,2021款,3.7万公里,2021-05,北京,20.98,23.88万
Cayenne新能源,2020款,1万公里,2021-06,北京,82.98,100.19万
奔驰C级,2019款,1.5万公里,2019-10,北京,22.98,33.74万
Levante,2019款,3.3万公里,2019-10,北京,64.98,104.40万
Macan,2018款,3万公里,2020-01,北京,46.98,59.16万
奔驰GLC,2022款,1.1万公里,2022-01,北京,36.98,43.40万
飞行家,2020款,5.4万公里,2020-07,北京,46.98,74.88万
捷豹XFL,2021款,0.4万公里,2022-07,北京,32.98,49.58万
奥迪Q5L,2020款,3.06万公里,2021-04,北京,32.98,48.33万
奔驰A级,2020款,2万公里,2020-11,北京,19.58,28.74万
雷克萨斯LS,2018款,2.3万公里,2018-12,北京,58.58,94.98万
Cayenne新能源,2021款,1.3万公里,2021-08,北京,83.98,94.22万
英菲尼迪QX60(进口),2016款,5.1万公里,2018-09,北京,24.98,52.08万
奥迪Q7,2016款,8.1万公里,2017-08,北京,33.98,81.82万
奔驰C级(进口),2021款,3.5万公里,2021-04,北京,31.98,39.82万
大切诺基(进口),2017款,8.6万公里,2018-07,北京,25.58,60.78万
飞行家,2021款,1.1万公里,2022-01,北京,51.98,65.11万
别克GL8,2018款,3.5万公里,2020-11,成都,,已降5000元
宝马3系,2022款,2.74万公里,2022-03,东莞,,已降1000元
航海家(进口),2020款,4万公里,2020-11,佛山,,已降3000元
奔驰E级,2018款,7万公里,2018-09,济南,32.80,49.71万
奔驰E级,2018款,4.9万公里,2018-06,济南,29.80,48.17万
普拉多,2018款,3.9万公里,2020-12,济南,57.28,54.25万
普拉多,2018款,5万公里,2018-10,济南,49.80,54.25万
迈特威,2019款,5.1万公里,2020-04,济南,47.28,55.01万
埃尔法,2020款,4.1万公里,2020-01,三明,,已降1000元
总裁,2021款,0.08万公里,2022-08,广州,,已降1.7万
宝马X5(进口),2015款,15万公里,2015-09,广州,,已降1.9万
汉,2020款,2万公里,2020-10,广州,,已降8000元
Model,3,0.7万公里,2022-05,广州,,已降1.8万
几何A,2019款,9万公里,2021-07,成都,,已降1000元
花冠,2013款,5.7万公里,2015-01,沈阳,5.88,11.81万
奔驰GLE,2020款,3.9万公里,2021-01,重庆,64.80,79.00万
宝马X6,2019款,5.5万公里,2019-01,重庆,43.80,81.83万
速腾,2018款,6.1万公里,2018-01,沈阳,8.68,17.35万
速腾,2012款,12.4万公里,2013-01,沈阳,5.28,18.21万
逍客,2016款,7.4万公里,2017-01,沈阳,8.88,18.21万
Model,3,1.3万公里,2020-09,昆明,22.80,31.67万
凯迪拉克XT5,2017款,5万公里,2017-03,武汉,17.58,52.09万
宝马X3,2021款,1.6万公里,2021-03,常州,38.80,52.08万
奔驰A级AMG(进口),2022款,0.5万公里,2021-07,东莞,43.98,53.18万
亚洲龙,2019款,1.92万公里,2019-06,郑州,19.80,31.46万
Cayenne,2020款,3.3万公里,2020-02,三明,103.80,125.70万
卡罗拉,2017款,5.54万公里,2017-01,合肥,6.83,13.00万
MINI,2021款,1万公里,2021-01,无锡,25.80,29.72万
MINI,2015款,4.98万公里,2015-05,南京,10.88,23.77万
奔驰E级,2019款,3.9万公里,2020-01,南宁,38.36,50.56万
凯迪拉克CT5,2020款,3.2万公里,2020-11,东莞,21.58,32.53万
英菲尼迪QX50,2018款,2.43万公里,2020-01,青岛,19.90,38.08万
天籁,2021款,0.64万公里,2022-03,武汉,17.80,24.94万
凯迪拉克CT6,2020款,5.28万公里,2020-03,武汉,22.90,41.22万
T-ROC探歌,2020款,1.7万公里,2021-05,东莞,12.68,20.17万
Huracán,2016款,2万公里,2017-01,上海,239.77,296.12万
凯迪拉克XT6,2021款,4.6万公里,2021-04,常州,28.98,45.88万
探界者,2019款,3万公里,2019-04,武汉,10.18,23.87万
奔驰CLA,2017款,5万公里,2017-01,武汉,17.18,34.63万
冠道,2017款,13.57万公里,2017-09,合肥,13.71,28.63万
雷克萨斯LX,2019款,5万公里,2020-03,重庆,153.80,140.13万
Panamera,2019款,2.4万公里,2021-01,重庆,112.80,105.62万
捷豹XJ,2013款,12.5万公里,2013-10,昆明,19.80,119.18万
宝马4系,2016款,6万公里,2017-07,南京,28.88,73.38万
奥迪Q5L,2020款,2.1万公里,2021-04,武汉,30.80,45.13万
奔驰E级,2022款,1.4万公里,2021-12,武汉,47.80,54.15万
逍客,2017款,11.2万公里,2017-07,合肥,7.15,16.69万
雪铁龙C3-XR,2015款,10.96万公里,2016-02,合肥,4.43,13.87万
保时捷911,2020款,1.34万公里,2021-01,上海,140.00,145.78万
奥迪Q5,2017款,13.98万公里,2017-02,合肥,15.59,43.46万
宝马X2,2022款,1.1万公里,2022-01,常州,19.68,31.02万
高尔夫,2016款,7.91万公里,2016-02,合肥,8.00,18.66万
奥迪A6L,2020款,3.4万公里,2020-10,常州,33.80,47.74万
MINI,2019款,2万公里,2019-08,重庆,15.80,21.90万
普拉多,2016款,12万公里,2016-01,无锡,35.88,56.42万
领克05,2020款,3万公里,2020-06,武汉,13.98,23.10万
捷豹F-PACE,2018款,4万公里,2017-06,武汉,21.58,75.77万
宝马5系,2021款,1.7万公里,2020-11,武汉,35.80,46.34万
Model,Y,1.4万公里,2022-01,武汉,25.90,31.67万
路虎卫士,2020款,3.4万公里,2021-01,武汉,90.80,103.99万
奔驰CLS,2021款,1.8万公里,2021-05,常州,51.00,69.23万
奔驰GL级,2015款,11万公里,2015-08,东莞,39.88,113.43万
林肯MKZ,2017款,5万公里,2017-06,武汉,11.68,33.09万
奔驰GLC,2016款,6万公里,2016-02,武汉,22.58,52.75万
迈锐宝XL,2019款,3万公里,2019-05,武汉,11.58,22.24万
威尔法,2019款,6万公里,2019-10,济南,81.50,92.92万
荣威RX5,2016款,5万公里,2017-08,昆明,5.98,18.11万
揽胜运动版,2014款,14万公里,2014-09,南京,35.80,113.76万
北京现代ix35,2019款,4.4万公里,2019-09,西安,8.60,15.19万
宝马3系,2018款,6.2万公里,2018-05,西安,18.80,37.64万
发现神行,2019款,4.9万公里,2019-09,西安,18.80,42.85万
揽胜,2019款,2.7万公里,2020-06,成都,131.80,170.74万
别克GL8,2018款,4.2万公里,2020-05,合肥,19.80,29.62万
奔驰G级,2019款,4.5万公里,2019-07,苏州,207.80,169.20万
宝马6系GT,2021款,0.92万公里,2021-11,武汉,49.90,63.38万
奥迪A7,2021款,0.3万公里,2021-07,武汉,49.90,62.28万
英菲尼迪QX60(进口),2020款,1.3万公里,2022-03,武汉,33.50,52.08万
发现,2015款,8万公里,2015-07,昆明,43.80,100.73万
奔驰GLC,2020款,4万公里,2020-07,常州,36.80,48.82万
雷克萨斯ES,2016款,6.3万公里,2017-06,东莞,19.88,34.52万
揽胜极光,2018款,8.3万公里,2018-02,东莞,18.38,48.06万
雷克萨斯LM,2020款,0.26万公里,2022-02,三明,159.80,126.57万
宝马7系,2016款,7.39万公里,2018-06,西安,69.40,215.79万
宝马7系,2019款,4.9万公里,2020-01,西安,80.30,130.04万
奥迪A8,2019款,5.09万公里,2019-11,西安,54.30,109.39万
Cayenne,2018款,7.4万公里,2019-03,西安,71.40,97.15万
宝马7系,2019款,2.6万公里,2021-01,武汉,72.90,101.82万
飞行家,2021款,2.4万公里,2021-11,武汉,55.80,75.96万
皇冠陆放,2021款,0.3万公里,2022-01,武汉,33.90,36.12万
奔驰E级(进口),2020款,3.4万公里,2020-04,武汉,38.90,56.64万
奥迪A8,2019款,2.6万公里,2020-09,武汉,59.90,91.05万
奥迪TT,2013款,8.2万公里,2012-06,昆明,14.80,56.34万
君威,2015款,7.09万公里,2017-05,合肥,6.69,19.42万
宝马i8,2014款,3万公里,2019-05,武汉,91.80,195.17万
Panamera,2019款,2.4万公里,2019-11,武汉,99.80,105.62万
Macan,2017款,6.6万公里,2017-10,广州,31.30,59.70万
讴歌CDX,2016款,10万公里,2018-02,广州,12.80,27.12万
奔驰GLE,2016款,15.9万公里,2016-09,广州,34.98,84.45万
